batter,match_id,date,match_format,batting_team,bowling_team,venue,runs_scored,balls_faced,boundaries,batting_position,career_runs_avg,career_balls_faced,career_total_runs,career_strike_rate,career_matches,ema_form,recent_form_5,form_momentum,consistency,scored_50,career_50_rate,career_boundary_rate,quick_out,career_quick_out_rate,venue_avg_runs,is_t20,is_odi,opp_attack_hist_runs,opp_attack_hist_balls,opp_attack_hist_dismiss,opp_attack_hist_sr
Adeel Raja,65241,2003-02-12,ODI,Netherlands,India,"Boland Bank Park, Paarl",0,10,0,11,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,0,1,0.0,0.0,0.0,0.0
Afif Hossain,1399117,2023-10-06,T20,Bangladesh,India,Zhejiang University of Technology Cricket Field,7,17,0,5,3.0,15.0,9.0,60.0,3,2.7123287671232874,3.0,-0.3289404322614655,0.5,0,0.0,0.0,0,1.0,0.0,1,0,1.0,3.0,1.0,33.33333333333333
Aftab Ahmed,282689,2007-05-12,ODI,Bangladesh,India,Shere Bangla National Stadium,40,42,6,3,15.75,92.0,63.0,68.47826086956522,4,14.330833004342676,15.75,-1.3586895415333924,0.6082305715601072,0,0.0,0.06521739130434782,0,0.25,16.0,0,1,15.0,11.0,1.0,136.36363636363635
Afzaal Haider,335349,2008-06-25,ODI,Hong Kong,India,National Stadium,0,10,0,10,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,0,1,0.0,0.0,0.0,0.0
Agha Salman,1512745,2026-02-15,T20,Pakistan,India,"R Premadasa Stadium, Colombo",4,4,1,1,9.333333333333334,32.0,28.0,87.5,3,9.75799086757991,9.333333333333334,0.3626779124934103,0.5681380474133011,0,0.0,0.03125,1,0.3333333333333333,23.0,1,0,6.0,14.0,1.0,42.857142857142854
Ahmed Raza,966761,2016-03-03,T20,United Arab Emirates,India,Shere Bangla National Stadium,0,1,0,10,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,1,0,0.0,0.0,0.0,0.0
Ahmed Shehzad,1022353,2017-06-04,ODI,Pakistan,India,Edgbaston,12,22,1,2,44.5,121.0,89.0,73.55371900826447,2,44.94117647058824,44.5,0.7017543859649038,0.03225806451612903,0,0.0,0.09090909090909091,0,0.0,0.0,0,1,24.0,37.0,3.0,64.86486486486487
Aizaz Khan,1327272,2022-08-31,T20,Hong Kong,India,Dubai International Cricket Stadium,14,13,2,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0.0,0.0
Akash Deep,1448353,2025-07-31,Test,India,England,"Kennington Oval, London",66,102,12,4,14.23076923076923,384.0,185.0,48.17708333333333,13,25.921553693230607,19.0,19.947584549687203,0.4265125973662142,1,0.07692307692307693,0.07552083333333333,0,0.07692307692307693,66.0,0,0,4.0,5.0,0.0,80.0
Akash Madhwal,1473487,2025-05-01,IPL,Rajasthan Royals,Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",4,9,0,10,4.0,5.0,4.0,80.0,1,4.0,4.0,0.0,0.03225806451612903,0,0.0,0.0,1,1.0,0.0,1,0,0.0,0.0,0.0,0.0
Al-Amin Hossain,1187017,2019-11-22,Test,Bangladesh,India,Eden Gardens,22,24,5,10,22.0,24.0,22.0,91.66666666666666,1,22.0,22.0,0.0,0.03225806451612903,0,0.0,0.20833333333333334,0,0.0,22.0,0,0,0.0,0.0,0.0,0.0
Alok Kapali,335352,2008-06-28,ODI,Bangladesh,India,National Stadium,115,98,15,6,20.0,27.0,20.0,74.07407407407408,1,20.0,20.0,0.0,0.03225806451612903,1,0.0,0.07407407407407407,0,0.0,0.0,0,1,4.0,4.0,0.0,100.0
Aman Hakim Khan,1359541,2023-05-20,IPL,Delhi Capitals,Chennai Super Kings,"Arun Jaitley Stadium, Delhi",7,11,1,7,12.0,98.0,108.0,110.20408163265304,9,15.113726139957473,14.6,2.306280330681272,0.43086629193257153,0,0.1111111111111111,0.1326530612244898,0,0.6666666666666666,8.0,1,0,2.0,5.0,0.0,40.0
Aminul Islam,1187015,2019-11-10,T20,Bangladesh,India,"Vidarbha Cricket Association Stadium, Jamtha",9,10,1,8,5.0,5.0,5.0,100.0,1,5.0,5.0,0.0,0.03225806451612903,0,0.0,0.2,1,1.0,0.0,1,0,5.0,5.0,0.0,100.0
Amjad Ali,656439,2015-02-28,ODI,United Arab Emirates,India,Western Australia Cricket Association Ground,4,13,0,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
Amjad Javed,966761,2016-03-03,T20,United Arab Emirates,India,Shere Bangla National Stadium,0,1,0,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,1,0,0.0,0.0,0.0,0.0
