batter,match_id,date,match_format,batting_team,bowling_team,venue,runs_scored,balls_faced,boundaries,batting_position,career_runs_avg,career_balls_faced,career_total_runs,career_strike_rate,career_matches,ema_form,recent_form_5,form_momentum,consistency,scored_50,career_50_rate,career_boundary_rate,quick_out,career_quick_out_rate,venue_avg_runs,is_t20,is_odi,opp_attack_hist_runs,opp_attack_hist_balls,opp_attack_hist_dismiss,opp_attack_hist_sr
DS Lehmann,335987,2008-04-21,IPL,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,17,17,3,5,1.0,2.0,1.0,50.0,1,1.0,1.0,0.0,0.03225806451612903,0,0.0,0.0,0,1.0,0.0,1,0,0.0,0.0,0.0,0.0
DS Rathi,1473482,2025-04-27,IPL,Lucknow Super Giants,Mumbai Indians,"Wankhede Stadium, Mumbai",1,4,0,11,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,1,0,0.0,0.0,0.0,0.0
DS Smith,597924,2013-06-30,ODI,West Indies,India,"Sabina Park, Kingston",0,3,0,3,39.75,194.0,159.0,81.95876288659794,4,46.89261744966443,39.75,12.502704274498399,0.586986768770499,0,0.25,0.0979381443298969,1,0.0,0.0,0,1,0.0,0.0,0.0,0.0
DT Christian,1254115,2021-10-11,IPL,Royal Challengers Bangalore,Kolkata Knight Riders,Sharjah Cricket Stadium,9,8,1,7,11.275,400.0,451.0,112.75,40,1.5526189243071524,0.8,-4.756777489155105,0.45953691999760626,0,0.0,0.1025,1,0.475,0.0,1,0,0.0,0.0,0.0,0.0
DT Hondo,65648,2004-01-20,ODI,Zimbabwe,India,Brisbane Cricket Ground,0,1,0,11,2.0,9.0,2.0,22.22222222222222,1,2.0,2.0,0.0,0.03225806451612903,0,0.0,0.0,1,1.0,0.0,0,1,0.0,0.0,0.0,0.0
DT Johnston,433578,2011-03-06,ODI,Ireland,India,M Chinnaswamy Stadium,17,22,2,9,34.0,47.0,34.0,72.3404255319149,1,34.0,34.0,0.0,0.03225806451612903,0,0.0,0.06382978723404255,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
DT Patil,336023,2008-05-17,IPL,Royal Challengers Bangalore,Rajasthan Royals,Sawai Mansingh Stadium,9,12,0,7,4.0,1.0,4.0,400.0,1,4.0,4.0,0.0,0.03225806451612903,0,0.0,1.0,0,1.0,0.0,1,0,0.0,0.0,0.0,0.0
DT Tiripano,1007657,2016-06-20,T20,Zimbabwe,India,Harare Sports Club,11,15,1,9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,0,0.0,5.5,1,0,5.0,16.0,1.0,31.25
DW Lawrence,1239543,2021-08-04,Test,England,India,"Trent Bridge, Nottingham",25,36,4,6,46.142857142857146,690.0,323.0,46.81159420289855,7,53.874205044495945,57.4,3.192719148430129,0.5703267546460301,0,0.2857142857142857,0.057971014492753624,0,0.0,25.0,0,0,11.0,13.0,0.0,84.61538461538461
DW Steyn,1216510,2020-09-24,IPL,Royal Challengers Bangalore,Kings XI Punjab,Dubai International Cricket Stadium,1,2,0,10,5.1875,161.0,166.0,103.1055900621118,32,5.792187281040657,4.4,-0.11474696242126914,0.4262826652725558,0,0.0,0.10559006211180125,1,0.8125,0.0,1,0,0.0,0.0,0.0,0.0
Danish Kaneria,297808,2007-12-08,Test,Pakistan,India,M.Chinnaswamy Stadium,4,5,1,11,1.0,52.0,8.0,15.384615384615385,8,0.2546861072580745,0.0,-0.6621104588924134,0.35067537628327766,0,0.0,0.038461538461538464,1,0.75,0.0,0,0,0.0,0.0,0.0,0.0
Dhruv Jurel,1479572,2025-11-22,Test,India,South Africa,"Barsapara Cricket Stadium, Guwahati",2,14,0,5,52.142857142857146,1296.0,730.0,56.32716049382716,14,30.590156752950545,31.2,-26.69470925585821,0.5392266419697119,0,0.5,0.06867283950617284,0,0.0,13.0,0,0,6.0,22.0,3.0,27.27272727272727
Dolar Mahmud,345470,2008-06-12,ODI,Bangladesh,India,Shere Bangla National Stadium,0,1,0,11,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,0,1,0.0,0.0,0.0,0.0
E Chigumbura,1007659,2016-06-22,T20,Zimbabwe,India,Harare Sports Club,16,16,2,6,16.8,66.0,84.0,127.27272727272727,5,19.17864483790704,16.8,1.7474542746208925,0.43511426049951324,0,0.2,0.18181818181818182,0,0.4,23.733333333333334,1,0,111.0,122.0,4.0,90.98360655737704
E Lewis,1312198,2022-05-25,IPL,Lucknow Super Giants,Royal Challengers Bangalore,"Eden Gardens, Kolkata",2,8,0,6,26.08,491.0,652.0,132.79022403258656,25,17.53002433934406,19.0,-11.635562308154059,0.5085376058040946,0,0.16,0.19959266802443992,1,0.28,0.0,1,0,36.0,14.0,0.0,257.14285714285717
E Schiferli,65241,2003-02-12,ODI,Netherlands,India,"Boland Bank Park, Paarl",13,21,2,9,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
EC Joyce,656465,2015-03-10,ODI,Ireland,India,Seddon Park,2,9,0,3,4.0,5.0,4.0,80.0,1,4.0,4.0,0.0,0.03225806451612903,0,0.0,0.2,1,1.0,0.0,0,1,0.0,0.0,0.0,0.0
EC Rainsford,452153,2010-06-12,T20,Zimbabwe,India,Harare Sports Club,1,2,0,11,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,1,0,0.0,0.0,0.0,0.0
EJG Morgan,1254117,2021-10-15,IPL,Kolkata Knight Riders,Chennai Super Kings,Dubai International Cricket Stadium,4,8,0,4,19.41891891891892,1198.0,1437.0,119.94991652754592,74,4.861936187389936,4.4,-9.277725893663664,0.37144747193995215,0,0.06756756756756757,0.15025041736227046,1,0.33783783783783783,24.2,1,0,144.0,181.0,6.0,79.55801104972376
EJM Cowan,598815,2013-03-22,Test,Australia,India,Feroz Shah Kotla,62,143,12,3,60.76923076923077,1989.0,790.0,39.71845148315737,13,69.93880562713285,69.2,9.032991025851778,0.7578832058962708,1,0.6153846153846154,0.048265460030165915,0,0.0,62.0,0,0,240.0,670.0,9.0,35.82089552238806
EMDY Munaweera,1109610,2017-09-06,T20,Sri Lanka,India,"R.Premadasa Stadium, Khettarama",53,30,9,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,1,0.0,0.0,0,0.0,7.5,1,0,11.0,21.0,3.0,52.38095238095239
ER Dwivedi,981017,2016-05-27,IPL,Gujarat Lions,Sunrisers Hyderabad,Feroz Shah Kotla,5,6,1,2,19.0,9.0,19.0,211.11111111111111,1,19.0,19.0,0.0,0.03225806451612903,0,0.0,0.3333333333333333,1,0.0,0.0,1,0,0.0,0.0,0.0,0.0
ES Szwarczynski,433582,2011-03-09,ODI,Netherlands,India,Feroz Shah Kotla,28,42,4,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
Ebadat Hossain,1340848,2022-12-14,Test,Bangladesh,India,"Zahur Ahmed Chowdhury Stadium, Chattogram",17,42,3,10,5.0,80.0,25.0,31.25,5,7.1902563917637305,5.0,3.8680374105638453,0.42436428169649243,0,0.0,0.0375,0,0.4,8.5,0,0,0.0,2.0,1.0,0.0
Ehsan Khan,1153246,2018-09-18,ODI,Hong Kong,India,Dubai International Cricket Stadium,22,25,0,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
Ehsan Nawaz,1153246,2018-09-18,ODI,Hong Kong,India,Dubai International Cricket Stadium,2,3,0,10,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,0,1,0.0,0.0,0.0,0.0
Enamul Haque jnr,282691,2007-05-18,Test,Bangladesh,India,Zahur Ahmed Chowdhury Stadium,0,5,0,11,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,0,0,0.0,0.0,0.0,0.0
F Behardien,1122287,2018-02-24,T20,South Africa,India,Newlands,15,6,3,7,21.833333333333332,104.0,131.0,125.96153846153845,6,22.490607479336454,22.2,0.06367892481700821,0.66030102278794,0,0.0,0.1346153846153846,0,0.0,0.0,1,0,47.0,44.0,1.0,106.81818181818181
F du Plessis,1485779,2025-05-24,IPL,Delhi Capitals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",23,15,3,1,32.534246575342465,3590.0,4750.0,132.31197771587745,146,15.438148347130692,19.6,-15.710978028695989,0.5224953112641444,0,0.2671232876712329,0.1701949860724234,0,0.2054794520547945,49.5,1,0,151.0,108.0,2.0,139.8148148148148
FA Allen,1304072,2022-04-16,IPL,Mumbai Indians,Lucknow Super Giants,"Brabourne Stadium, Mumbai",8,7,1,7,3.0,12.0,6.0,50.0,2,2.4705882352941173,3.0,-0.8421052631578951,0.03225806451612903,0,0.0,0.0,1,0.5,0.0,1,0,0.0,0.0,0.0,0.0
FDM Karunaratne,1384424,2023-11-02,ODI,Sri Lanka,India,"Wankhede Stadium, Mumbai",0,1,0,3,6.0,35.0,12.0,34.285714285714285,2,5.294117647058823,6.0,-1.1228070175438596,0.03225806451612903,0,0.0,0.05714285714285714,1,0.0,0.0,0,1,2.0,16.0,1.0,12.5
FH Allen,1512773,2026-03-08,T20,New Zealand,India,"Narendra Modi Stadium, Ahmedabad",9,7,1,1,22.0,86.0,132.0,153.48837209302326,6,34.07327696120932,26.4,19.694183893834317,0.41371336024031846,0,0.16666666666666666,0.2558139534883721,1,0.5,3.0,1,0,141.0,92.0,4.0,153.26086956521738
FH Edwards,535999,2011-11-22,Test,West Indies,India,Wankhede Stadium,13,43,1,10,18.083333333333332,696.0,217.0,31.178160919540232,12,20.72555836644607,19.4,0.5515236124001497,0.6424863360999835,0,0.0,0.03879310344827586,0,0.08333333333333333,13.0,0,0,63.0,107.0,5.0,58.87850467289719
FJ Klaassen,1298157,2022-10-27,T20,Netherlands,India,Sydney Cricket Ground,0,1,0,10,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,1,0,0.0,0.0,0.0,0.0
FL Reifer,415284,2009-09-30,ODI,West Indies,India,New Wanderers Stadium,1,6,0,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,0,1,0.0,0.0,0.0,0.0
FY Fazal,1007653,2016-06-15,ODI,India,Zimbabwe,Harare Sports Club,55,65,8,2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,1,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
Fahad Tariq,966761,2016-03-03,T20,United Arab Emirates,India,Shere Bangla National Stadium,3,5,0,8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,1,0,0.0,0.0,0.0,0.0
Faheem Ashraf,1512745,2026-02-15,T20,Pakistan,India,"R Premadasa Stadium, Colombo",10,15,1,8,10.333333333333334,25.0,31.0,124.0,3,8.853881278538811,10.333333333333334,-2.644175013178704,0.5077808537648864,0,0.0,0.16,0,0.3333333333333333,4.0,1,0,13.0,24.0,3.0,54.166666666666664
Faisal Iqbal,297808,2007-12-08,Test,Pakistan,India,M.Chinnaswamy Stadium,73,118,9,4,90.25,595.0,361.0,60.67226890756302,4,76.1752862218713,90.25,-17.93575651836774,0.5672551770264375,1,0.75,0.07563025210084033,0,0.0,73.0,0,0,53.0,128.0,1.0,41.40625
Fakhar Zaman,1496938,2025-09-28,T20,Pakistan,India,Dubai International Cricket Stadium,46,36,4,2,14.0,57.0,70.0,122.80701754385966,5,14.718546031517073,14.0,0.8538985616956865,0.8410554584396599,0,0.0,0.21052631578947367,0,0.0,14.666666666666666,1,0,85.0,111.0,4.0,76.57657657657657
Farhad Reza,345470,2008-06-12,ODI,Bangladesh,India,Shere Bangla National Stadium,5,8,0,8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,0,1,0.0,0.0,0.0,0.0
Fawad Alam,297805,2007-11-18,ODI,Pakistan,India,Sawai Mansingh Stadium,32,24,3,7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
Fazalhaq Farooqi,1473479,2025-04-24,IPL,Rajasthan Royals,Royal Challengers Bengaluru,"M Chinnaswamy Stadium, Bengaluru",2,2,0,10,1.5,13.0,3.0,23.076923076923077,2,1.411764705882353,1.5,-0.14035087719298245,0.03225806451612903,0,0.0,0.0,1,1.0,0.0,1,0,0.0,0.0,0.0,0.0
Fazl-e-Akbar,64083,2004-04-13,Test,Pakistan,India,Rawalpindi Cricket Stadium,37,65,7,10,37.0,65.0,37.0,56.92307692307692,1,37.0,37.0,0.0,0.03225806451612903,0,0.0,0.1076923076923077,0,0.0,37.0,0,0,0.0,0.0,0.0,0.0
G Coetzee,1473504,2025-05-25,IPL,Gujarat Titans,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",5,5,1,8,4.333333333333333,28.0,26.0,92.85714285714286,6,6.534294175447187,5.0,3.4401625219259717,0.47648968977468853,0,0.0,0.10714285714285714,1,0.8333333333333334,1.0,1,0,0.0,0.0,0.0,0.0
G Gambhir,1136582,2018-04-23,IPL,Delhi Daredevils,Kings XI Punjab,Arun Jaitley Stadium,4,16,0,1,28.086666666666666,3508.0,4213.0,120.09692132269099,150,15.412351635796691,18.6,-13.8306021674365,0.5580067660826534,0,0.24,0.15706955530216649,0,0.24666666666666667,0.0,1,0,38.0,33.0,0.0,115.15151515151516
G Motie,1381216,2023-08-01,ODI,West Indies,India,"Brian Lara Stadium, Tarouba, Trinidad",39,34,7,10,0.0,3.0,0.0,0.0,1,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,0,1.0,0.0,0,1,0.0,3.0,0.0,0.0
G Snyman,65257,2003-02-23,ODI,Namibia,India,"City Oval, Pietermaritzburg",5,6,1,10,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,0,1,0.0,0.0,0.0,0.0
GA Lamb,452154,2010-06-13,T20,Zimbabwe,India,Harare Sports Club,7,4,1,7,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,1.0,0.0,1,0,6.0,5.0,0.0,120.0
GA Manou,416239,2009-11-02,ODI,Australia,India,"Punjab Cricket Association Stadium, Mohali",7,6,0,8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,0,1,0.0,0.0,0.0,0.0
GB Hogg,829791,2015-05-09,IPL,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,5,5,0,9,5.666666666666667,17.0,17.0,100.0,3,5.5159817351598175,5.666666666666667,-0.5102793885081711,0.47153379750513585,0,0.0,0.058823529411764705,1,0.6666666666666666,0.0,1,0,0.0,0.0,0.0,0.0
GB Murgatroyd,65257,2003-02-23,ODI,Namibia,India,"City Oval, Pietermaritzburg",0,6,0,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,0,1,0.0,0.0,0.0,0.0
GC Smith,648667,2013-12-26,Test,South Africa,India,Kingsmead,74,115,12,2,69.15384615384616,2974.0,1798.0,60.45729657027572,26,76.39938438667524,73.6,15.890896491444806,0.6339150909118069,1,0.6153846153846154,0.08843308675184935,0,0.0,40.4,0,0,472.0,720.0,17.0,65.55555555555556
GC Tonge,415284,2009-09-30,ODI,West Indies,India,New Wanderers Stadium,5,6,1,11,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,0,1,0.0,0.0,0.0,0.0
GC Viljoen,1178417,2019-04-24,IPL,Kings XI Punjab,Royal Challengers Bangalore,M.Chinnaswamy Stadium,0,1,0,7,1.5,6.0,3.0,50.0,2,1.5882352941176472,1.5,0.14035087719298245,0.03225806451612903,0,0.0,0.0,1,1.0,0.0,1,0,0.0,0.0,0.0,0.0
GC Wilson,1140993,2018-06-29,T20,Ireland,India,"The Village, Malahide",15,20,2,5,12.0,32.0,24.0,75.0,2,10.76470588235294,12.0,-1.964912280701757,0.03225806451612903,0,0.0,0.03125,0,0.5,5.0,1,0,5.0,9.0,1.0,55.55555555555556
GD Elliott,951329,2016-03-15,T20,New Zealand,India,"Vidarbha Cricket Association Stadium, Jamtha",9,12,0,7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,0,0.0,0.0,1,0,11.0,34.0,0.0,32.35294117647059
GD McGrath,336038,2008-05-30,IPL,Delhi Daredevils,Rajasthan Royals,Wankhede Stadium,4,3,1,11,0.0,2.0,0.0,0.0,1,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,1.0,9.0,1,0,0.0,0.0,0.0,0.0
GD Phillips,1512773,2026-03-08,T20,New Zealand,India,"Narendra Modi Stadium, Ahmedabad",5,5,1,4,22.214285714285715,233.0,311.0,133.4763948497854,14,23.941973869297364,35.2,-4.706917328969098,0.5143678559484883,0,0.14285714285714285,0.18025751072961374,1,0.2857142857142857,2.0,1,0,76.0,71.0,4.0,107.04225352112675
GF Linde,1479580,2025-12-19,T20,South Africa,India,"Narendra Modi Stadium, Ahmedabad",16,9,2,7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0.0,0.0
GH Dockrell,1415708,2024-06-05,T20,Ireland,India,"Nassau County International Cricket Stadium, New York",3,5,0,6,10.833333333333334,52.0,65.0,125.0,6,11.629735785418728,11.2,0.537638921791185,0.47191083064699124,0,0.0,0.15384615384615385,1,0.6666666666666666,0.0,1,0,2.0,3.0,0.0,66.66666666666666
GH Vihari,1320741,2022-07-01,Test,India,England,"Edgbaston, Birmingham",31,97,2,1,56.148148148148145,3571.0,1516.0,42.45309437132455,27,49.834361090631205,56.2,-4.315387743102669,0.695115646091763,0,0.48148148148148145,0.05684682161859423,0,0.0,31.0,0,0,15.0,47.0,0.0,31.914893617021278
GHS Garton,1254095,2021-10-06,IPL,Royal Challengers Bangalore,Sunrisers Hyderabad,"Zayed Cricket Stadium, Abu Dhabi",2,3,0,8,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,1.0,0.0,1,0,0.0,0.0,0.0,0.0
GJ Bailey,981005,2016-05-21,IPL,Rising Pune Supergiants,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,9,11,2,3,18.685714285714287,541.0,654.0,120.88724584103512,35,17.379049508711265,17.4,-0.627893210286846,0.5534478870461464,0,0.05714285714285714,0.14048059149722736,0,0.22857142857142856,21.0,1,0,34.0,10.0,0.0,340.0
GJ Batty,1034813,2016-11-26,Test,England,India,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,20,0,6,1.0,20.0,1.0,5.0,1,1.0,1.0,0.0,0.03225806451612903,0,0.0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0.0
GJ Delany,1415708,2024-06-05,T20,Ireland,India,"Nassau County International Cricket Stadium, New York",26,14,4,7,4.0,13.0,8.0,61.53846153846154,2,3.2941176470588234,4.0,-1.12280701754386,0.03225806451612903,0,0.0,0.07692307692307693,0,1.0,0.0,1,0,8.0,4.0,0.0,200.0
GJ Hopkins,467885,2010-12-04,ODI,New Zealand,India,Reliance Stadium,6,6,1,8,9.25,43.0,37.0,86.04651162790698,4,10.118436636399526,9.25,1.294329747019484,0.5798649662190165,0,0.0,0.06976744186046512,1,0.25,0.0,0,1,9.0,8.0,1.0,112.5
GJ Maxwell,1478910,2025-11-06,T20,Australia,India,Carrara Oval,2,4,0,7,27.333333333333332,394.0,574.0,145.68527918781726,21,35.01153836612625,28.4,8.076229430853797,0.43886025195861955,0,0.19047619047619047,0.18274111675126903,1,0.2857142857142857,0.0,1,0,79.0,46.0,5.0,171.73913043478262
GJ Whittall,65250,2003-02-19,ODI,Zimbabwe,India,Harare Sports Club,28,26,3,8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
GM Ewing,219062,2005-09-13,Test,Zimbabwe,India,Queens Sports Club,34,48,7,10,34.0,48.0,34.0,70.83333333333334,1,34.0,34.0,0.0,0.03225806451612903,0,0.0,0.14583333333333334,0,0.0,34.0,0,0,1.0,8.0,1.0,12.5
GM Hamilton,275789,2007-08-16,ODI,Scotland,India,Titwood,44,81,3,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
GO Jones,238194,2006-04-15,ODI,England,India,Maharani Usharaje Trust Cricket Ground,53,51,8,6,15.4,96.0,77.0,80.20833333333334,5,19.492337095669107,15.4,6.760274474371812,0.55967223589855,1,0.0,0.0625,0,0.2,0.0,0,1,47.0,102.0,3.0,46.07843137254902
GP Swann,565809,2012-12-13,Test,England,India,"Vidarbha Cricket Association Stadium, Jamtha",56,91,8,8,16.7,301.0,167.0,55.48172757475083,10,16.938857345442948,18.6,-1.0129448032314876,0.6029870547571984,1,0.0,0.06312292358803986,0,0.2,0.0,0,0,86.0,114.0,3.0,75.43859649122807
GP Thorpe,66284,2002-06-29,ODI,England,India,"Lord's, London",12,15,1,5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0
GR Napier,392203,2009-05-01,IPL,Mumbai Indians,Kolkata Knight Riders,Buffalo Park,15,16,1,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0.0,0.0
GS Ballance,667727,2014-09-02,ODI,England,India,Edgbaston,7,19,1,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,0,0.0,0.0,0,1,147.0,298.0,2.0,49.328859060402685
GSNFG Jayasuriya,966757,2016-03-01,T20,Sri Lanka,India,Shere Bangla National Stadium,3,5,0,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,1,0,0.0,0.0,0.0,0.0
GW Flower,65648,2004-01-20,ODI,Zimbabwe,India,Brisbane Cricket Ground,36,65,4,1,19.0,72.0,38.0,52.77777777777778,2,18.294117647058822,19.0,-1.1228070175438596,0.03225806451612903,0,0.0,0.013888888888888888,0,0.0,0.0,0,1,12.0,19.0,0.0,63.1578947368421
Gulbadin Naib,1426294,2024-05-07,IPL,Delhi Capitals,Rajasthan Royals,"Arun Jaitley Stadium, Delhi",19,15,2,7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,0,0.0,0.0,1,0,0.0,0.0,0.0,0.0
Gulsan Jha,1399113,2023-10-03,T20,Nepal,India,Zhejiang University of Technology Cricket Field,6,6,1,8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,1,0,0.0,0.0,0.0,0.0
Gurkeerat Singh,1216502,2020-10-31,IPL,Royal Challengers Bangalore,Sunrisers Hyderabad,Sharjah Cricket Stadium,15,24,1,5,16.0,412.0,496.0,120.3883495145631,31,17.691889062729796,24.2,-4.484694958986614,0.5627453183938809,0,0.06451612903225806,0.15776699029126215,0,0.3870967741935484,0.0,1,0,10.0,7.0,0.0,142.85714285714286
H Das,336024,2008-05-18,IPL,Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",2,5,0,7,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,1,0,0.0,0.0,0.0,0.0
H Davids,648655,2013-12-11,ODI,South Africa,India,SuperSport Park,1,7,0,3,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,0,1,0.0,0.0,0.0,0.0
H Hameed,1239546,2021-09-02,Test,England,India,"Kennington Oval, London",63,205,6,2,58.7,1773.0,587.0,33.107727016356456,10,50.7928322294427,43.4,-0.08692647772222983,0.616775685223298,1,0.6,0.03835307388606881,0,0.0,63.0,0,0,112.0,405.0,3.0,27.65432098765432
H Kaushik,1496921,2025-09-10,T20,United Arab Emirates,India,Dubai International Cricket Stadium,2,2,0,6,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,0.0,0.0,1,0,0.0,0.0,0.0,0.0
H Klaasen,1473505,2025-05-25,IPL,Sunrisers Hyderabad,Kolkata Knight Riders,"Arun Jaitley Stadium, Delhi",105,42,16,3,31.25,865.0,1375.0,158.95953757225433,44,31.345844472367848,34.4,-1.5319697945483242,0.6507589215956732,1,0.18181818181818182,0.1976878612716763,0,0.18181818181818182,34.0,1,0,208.0,124.0,7.0,167.74193548387098
H Masakadza,1007659,2016-06-22,T20,Zimbabwe,India,Harare Sports Club,15,21,2,2,14.166666666666666,85.0,85.0,100.0,6,16.001207002655406,16.8,0.7153070489640676,0.5501682169837251,0,0.0,0.12941176470588237,0,0.3333333333333333,17.27777777777778,1,0,60.0,113.0,7.0,53.09734513274337
HAPW Jayawardene,456671,2010-08-03,Test,Sri Lanka,India,P Sara Oval,9,42,1,8,55.54545454545455,1161.0,611.0,52.62704565030146,11,44.03328320146346,50.8,-24.22592693835754,0.5854143390554783,0,0.45454545454545453,0.05598621877691645,0,0.0,9.0,0,0,66.0,146.0,2.0,45.20547945205479
HB Shipley,1348647,2023-01-21,ODI,New Zealand,India,"Shaheed Veer Narayan Singh International Stadium, Raipur",2,9,0,9,0.0,2.0,0.0,0.0,1,0.0,0.0,0.0,0.03225806451612903,0,0.0,0.0,1,1.0,0.0,0,1,0.0,0.0,0.0,0.0
HC Brook,1512772,2026-03-05,T20,England,India,"Wankhede Stadium, Mumbai",7,6,1,3,19.0,123.0,171.0,139.02439024390242,9,18.403891300824178,18.2,-2.144003653181503,0.5649929392637546,0,0.1111111111111111,0.18699186991869918,1,0.2222222222222222,1.0,1,0,27.0,48.0,1.0,56.25
HD Rutherford,667653,2014-02-14,Test,New Zealand,India,Basin Reserve,47,89,8,1,19.666666666666668,153.0,59.0,38.56209150326798,3,24.72146118721461,19.666666666666668,8.299420137058512,0.45379699328368384,0,0.0,0.06535947712418301,0,0.0,47.0,0,0,6.0,32.0,2.0,18.75
HDRL Thirimanne,1278683,2022-03-12,Test,Sri Lanka,India,"M Chinnaswamy Stadium, Bengaluru",8,9,2,3,38.92307692307692,1355.0,506.0,37.343173431734314,13,21.8309707035694,21.2,-17.92795960325313,0.578577014816957,0,0.46153846153846156,0.03837638376383764,1,0.07692307692307693,8.0,0,0,23.0,52.0,1.0,44.230769230769226
HE van der Dussen,1387602,2023-12-21,ODI,South Africa,India,"Boland Park, Paarl",2,18,0,3,41.285714285714285,319.0,289.0,90.59561128526646,7,30.52125934878788,27.6,-11.254972579306834,0.49398286331441327,0,0.2857142857142857,0.08463949843260188,0,0.14285714285714285,83.0,0,1,34.0,33.0,1.0,103.03030303030303
