venue,is_t20,is_odi,v_pp_runs,v_pp_wkts,v_pp_rr,v_mo_runs,v_mo_wkts,v_mo_rr,v_do_runs,v_do_wkts,v_do_rr,v_boundary_pct,v_dot_pct
"Sardar Patel Stadium, Motera",0,1,46.0,1.6,3.6951161688003795,92.8,1.6,5.094545454545455,414.0,9.2,5.799389449151103,0.4194549444676091,0.5050994031843017
"Sardar Patel Stadium, Motera",1,0,56.0,1.5833333333333333,7.7557050978103605,75.33333333333333,2.5833333333333335,6.896572871572872,63.916666666666664,3.1666666666666665,10.07271505376344,0.4884526777742289,0.38670776622218245
Saurashtra Cricket Association Stadium,0,0,50.0,2.0,4.054054054054054,98.0,0.0,5.444444444444445,1150.0,16.0,4.248768472906404,0.4622496147919877,0.6135105204872646
Saurashtra Cricket Association Stadium,0,1,66.0,0.0,5.352536747273589,91.33333333333333,1.3333333333333333,4.982804232804233,466.0,10.0,6.479834942820332,0.4499033573543378,0.4567610931159629
Saurashtra Cricket Association Stadium,1,0,82.5,1.0833333333333333,8.655405405405405,112.16666666666667,4.166666666666667,7.809533935849725,70.83333333333333,2.9166666666666665,9.49827122728958,0.4902565306613671,0.33168300748674023
"Saurashtra Cricket Association Stadium, Rajkot",0,0,48.0,4.0,3.891891891891892,64.0,2.0,3.4909090909090907,778.0,14.0,3.353448275862069,0.503370786516854,0.7246192893401016
"Saurashtra Cricket Association Stadium, Rajkot",0,1,92.0,0.0,7.666666666666666,148.0,2.0,8.222222222222223,464.0,12.0,6.385321100917432,0.5340909090909091,0.44155844155844154
"Saurashtra Cricket Association Stadium, Rajkot",1,0,145.0,5.0,7.729644624381467,238.0,8.0,8.72089947089947,185.0,7.0,11.747800586510264,0.5540560803718698,0.38145344872803566
Sawai Mansingh Stadium,0,1,46.0,1.6,3.673044096728307,85.6,2.0,4.71111111111111,406.8,11.6,5.935859578918082,0.40937772567121583,0.5365551227238534
Sawai Mansingh Stadium,1,0,44.0,1.1914893617021276,7.0557789203434185,66.80851063829788,2.25531914893617,7.1882517590849755,46.87234042553192,2.3404255319148937,9.086436253437906,0.4679361163723047,0.40377028740734333
"Sawai Mansingh Stadium, Jaipur",1,0,54.166666666666664,1.2777777777777777,8.004346451714873,89.5,2.1666666666666665,8.59311883418054,60.5,2.4444444444444446,10.606492257215692,0.4980819241438592,0.34182739546089613
Sector 16 Stadium,0,1,42.0,0.0,3.3157894736842106,94.0,0.0,4.7,446.0,8.0,6.137614678899082,0.43986254295532645,0.5569620253164557
Seddon Park,0,0,32.0,0.0,2.6666666666666665,48.0,4.0,2.6666666666666665,478.0,16.0,3.7441253263707575,0.5161290322580645,0.7145877378435518
Seddon Park,0,1,51.666666666666664,1.0,4.124399399399399,90.66666666666667,3.0,4.863549591498775,363.3333333333333,9.666666666666666,5.68420945530917,0.4677629762519726,0.5574918765687392
Seddon Park,1,0,198.0,0.0,10.702702702702702,255.0,9.0,9.444444444444445,183.0,3.0,11.4375,0.5283018867924528,0.2601626016260163
Shaheed Veer Narayan Singh International Stadium,1,0,36.666666666666664,1.6666666666666667,5.831432748538011,59.833333333333336,2.6666666666666665,6.510673780410623,49.833333333333336,1.8333333333333333,9.676680107526883,0.4376353136113331,0.42549982852359514
"Shaheed Veer Narayan Singh International Stadium, Raipur",0,1,56.0,3.0,3.8256410256410263,73.0,4.0,4.031313131313132,337.0,8.0,5.545668549905838,0.4586178357128078,0.5798517520215634
"Shaheed Veer Narayan Singh International Stadium, Raipur",1,0,171.0,4.5,9.243243243243244,249.0,9.0,9.049603174603174,153.0,9.0,9.272727272727273,0.5394562334217506,0.38402457757296465
Sharjah Cricket Stadium,1,0,44.0,1.4285714285714286,7.103483761378498,66.92857142857143,2.357142857142857,7.195053642091495,48.107142857142854,2.4285714285714284,9.158002984918308,0.44111194604465714,0.3955364614659052
Sheikh Zayed Stadium,0,1,42.0,0.0,3.4504504504504503,81.0,2.0,4.465656565656566,343.0,13.0,4.861815754339118,0.365180306832978,0.541038069821905
Sheikh Zayed Stadium,1,0,43.74074074074074,1.5185185185185186,6.964402661771083,66.18518518518519,1.962962962962963,7.155896484894266,49.03703703703704,2.4074074074074074,9.352187776381324,0.45089316848183214,0.38325544681915663
Shere Bangla National Stadium,0,0,30.0,6.0,2.5,88.0,4.0,4.888888888888888,348.0,10.0,2.9575070821529743,0.5321888412017167,0.7652370203160271
Shere Bangla National Stadium,0,1,61.1,1.6,4.864945289418974,94.0,2.0,5.080274089821369,386.8,11.3,5.603893360927672,0.4062643029068466,0.5109693941840225
Shere Bangla National Stadium,1,0,96.54545454545455,5.181818181818182,5.1245269192637615,181.9090909090909,7.363636363636363,6.558514946528476,115.9090909090909,7.909090909090909,7.49179902166145,0.4409481911586482,0.4764699915918197
"Shere Bangla National Stadium, Mirpur",0,0,30.0,0.0,2.4639639639639643,53.0,1.0,2.888888888888889,754.0,13.0,3.6218941741084993,0.48952119592691556,0.7145742516710258
"Shere Bangla National Stadium, Mirpur",0,1,51.0,2.0,4.135135135135135,83.0,4.0,4.446428571428571,323.0,11.0,5.045138888888889,0.4330833630916955,0.600278854394515
"Shrimant Madhavrao Scindia Cricket Stadium, Gwalior",1,0,117.0,6.0,6.5,189.0,15.0,6.872727272727273,75.0,9.0,5.0,0.4094488188976378,0.4462809917355372
Sinhalese Sports Club Ground,0,0,42.666666666666664,2.0,3.507507507507507,78.0,1.3333333333333333,4.248316498316498,902.0,13.333333333333334,3.487861628601891,0.42882952702888394,0.7014362819503882
"Sir Vivian Richards Stadium, Antigua",0,0,28.0,4.0,2.3333333333333335,44.0,2.0,2.4000000000000004,522.0,14.0,3.189409368635438,0.4713804713804714,0.7749140893470791
"Sir Vivian Richards Stadium, North Sound",0,0,28.0,0.0,2.3333333333333335,30.0,2.0,1.6666666666666667,1074.0,14.0,3.6324689966178125,0.43109540636042404,0.6878198567041965
"Sir Vivian Richards Stadium, North Sound",0,1,45.0,2.0,3.5906098406098406,70.0,1.0,3.8072691197691197,342.0,11.5,4.76564945226917,0.34213528241848695,0.584659436314972
"Sir Vivian Richards Stadium, North Sound, Antigua",1,0,159.0,3.0,8.833333333333334,243.0,9.0,8.379310344827587,186.0,3.0,11.272727272727273,0.5102040816326531,0.36220472440944884
Sophia Gardens,0,1,37.5,0.5,3.012802275960171,89.0,1.5,4.74688995215311,433.5,11.5,6.003286804650744,0.37820206332375483,0.52701338920639
Sophia Gardens,1,0,93.0,9.0,5.166666666666667,186.0,3.0,6.763636363636364,165.0,3.0,10.3125,0.3783783783783784,0.3983739837398374
St George's Park,0,1,42.666666666666664,1.3333333333333333,3.5045045045045047,111.33333333333333,1.3333333333333333,5.961755485893416,367.3333333333333,12.0,5.157596874046515,0.38378854352574937,0.5083319696190431
St George's Park,1,0,48.0,1.1428571428571428,7.501659070456063,63.42857142857143,1.5714285714285714,6.909492532645243,47.57142857142857,2.0,9.281163594470046,0.42613554161841055,0.3931350570765308
"St George's Park, Gqeberha",0,1,44.0,2.0,3.473684210526316,64.0,2.0,3.4909090909090907,314.0,16.0,4.8061224489795915,0.4549763033175355,0.6262975778546713
"St George's Park, Gqeberha",1,0,139.5,9.0,7.040384615384616,201.0,4.5,7.229220779220778,115.5,6.0,7.686274509803921,0.4985663082437276,0.4644944105691057
