venue,is_t20,is_odi,venue_avg_first_innings
Keenan Stadium,0,1,223.0
Kennington Oval,0,0,357.0
Kennington Oval,0,1,286.5
"Kennington Oval, London",0,0,294.6666666666667
"Kennington Oval, London",0,1,110.0
"Kensington Oval, Bridgetown",1,0,176.5
"Kensington Oval, Bridgetown, Barbados",0,1,147.5
"Kensington Oval, Bridgetown, Barbados",1,0,176.0
Khan Shaheb Osman Ali Stadium,0,1,271.5
Kingsmead,0,0,289.0
Kingsmead,0,1,271.5
Kingsmead,1,0,157.72222222222223
"Kingsmead, Durban",0,1,260.0
"Kingsmead, Durban",1,0,202.0
Kinrara Academy Oval,0,1,228.0
"Kotambi Stadium, Vadodara",0,1,300.0
"Lal Bahadur Shastri Stadium, Hyderabad, Deccan",0,1,353.0
Lord's,0,0,292.0
Lord's,0,1,237.66666666666666
Lord's,1,0,153.0
"Lord's, London",0,0,375.5
"Lord's, London",0,1,258.5
M Chinnaswamy Stadium,0,0,344.0
M Chinnaswamy Stadium,0,1,267.75
M Chinnaswamy Stadium,1,0,167.16923076923078
"M Chinnaswamy Stadium, Bengaluru",0,0,149.0
"M Chinnaswamy Stadium, Bengaluru",0,1,410.0
"M Chinnaswamy Stadium, Bengaluru",1,0,187.6
M.Chinnaswamy Stadium,0,1,310.0
M.Chinnaswamy Stadium,1,0,179.4375
MA Aziz Stadium,0,1,245.0
MA Chidambaram Stadium,0,0,453.5
MA Chidambaram Stadium,1,0,150.55555555555554
"MA Chidambaram Stadium, Chepauk",0,0,391.0
"MA Chidambaram Stadium, Chepauk",0,1,250.0
"MA Chidambaram Stadium, Chepauk",1,0,166.9591836734694
"MA Chidambaram Stadium, Chepauk, Chennai",0,0,376.0
"MA Chidambaram Stadium, Chepauk, Chennai",0,1,234.0
"MA Chidambaram Stadium, Chepauk, Chennai",1,0,167.14285714285714
Madhavrao Scindia Cricket Ground,0,1,313.5
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",1,0,163.0
"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",1,0,220.5
Maharani Usharaje Trust Cricket Ground,0,1,290.0
Maharashtra Cricket Association Stadium,0,0,430.5
Maharashtra Cricket Association Stadium,0,1,307.0
Maharashtra Cricket Association Stadium,1,0,165.125
"Maharashtra Cricket Association Stadium, Pune",0,0,259.0
"Maharashtra Cricket Association Stadium, Pune",0,1,256.0
"Maharashtra Cricket Association Stadium, Pune",1,0,174.4
"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",0,1,226.0
"Malahide, Dublin",1,0,162.0
Manuka Oval,0,1,325.0
Manuka Oval,1,0,161.0
McLean Park,0,1,240.66666666666666
"McLean Park, Napier",0,1,254.0
Melbourne Cricket Ground,0,0,357.6
Melbourne Cricket Ground,0,1,254.0
Melbourne Cricket Ground,1,0,143.16666666666666
Moses Mabhida Stadium,1,0,168.0
Multan Cricket Stadium,0,1,161.0
Nahar Singh Stadium,0,1,226.0
Narendra Modi Stadium,0,0,158.5
Narendra Modi Stadium,1,0,170.6
"Narendra Modi Stadium, Ahmedabad",0,0,162.0
"Narendra Modi Stadium, Ahmedabad",0,1,244.16666666666666
"Narendra Modi Stadium, Ahmedabad",1,0,191.02631578947367
"Nassau County International Cricket Stadium, New York",1,0,108.33333333333333
National Stadium,0,0,245.0
National Stadium,0,1,304.42857142857144
Nehru Stadium,0,1,258.625
Nehru Stadium,1,0,146.8
"Nehru Stadium, Fatorda",0,1,262.0
New Wanderers Stadium,0,1,225.66666666666666
New Wanderers Stadium,1,0,153.66666666666666
"New Wanderers Stadium, Johannesburg",0,1,325.5
Newlands,0,0,350.0
Newlands,0,1,265.6666666666667
Newlands,1,0,142.57142857142858
"Newlands, Cape Town",0,0,139.0
"Newlands, Cape Town",0,1,256.0
"Niranjan Shah Stadium, Rajkot",0,1,284.0
OUTsurance Oval,1,0,135.0
Old Trafford,0,0,152.0
Old Trafford,0,1,263.75
Old Trafford,1,0,162.0
"Old Trafford, Manchester",0,1,259.0
P Sara Oval,0,0,409.0
P Saravanamuttu Stadium,0,0,249.0
Pallekele International Cricket Stadium,0,0,487.0
Pallekele International Cricket Stadium,0,1,244.25
Pallekele International Cricket Stadium,1,0,176.33333333333334
Perth Stadium,0,0,238.0
Perth Stadium,0,1,136.0
Perth Stadium,1,0,133.0
"Providence Stadium, Guyana",1,0,157.0
Punjab Cricket Association IS Bindra Stadium,1,0,175.6
"Punjab Cricket Association IS Bindra Stadium, Mohali",0,0,291.5
"Punjab Cricket Association IS Bindra Stadium, Mohali",0,1,290.6666666666667
"Punjab Cricket Association IS Bindra Stadium, Mohali",1,0,162.6153846153846
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0,0,574.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",0,1,276.0
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",1,0,199.5
"Punjab Cricket Association Stadium, Mohali",0,0,376.5
"Punjab Cricket Association Stadium, Mohali",0,1,277.875
"Punjab Cricket Association Stadium, Mohali",1,0,164.47222222222223
"Queen's Park Oval, Port of Spain",0,1,247.72727272727272
"Queen's Park Oval, Port of Spain",1,0,159.0
"Queen's Park Oval, Port of Spain, Trinidad",0,1,281.3333333333333
"Queen's Park Oval, Trinidad",0,1,259.5
Queens Sports Club,0,0,279.0
Queens Sports Club,0,1,208.5
R Premadasa Stadium,0,1,275.9166666666667
R Premadasa Stadium,1,0,152.2
"R Premadasa Stadium, Colombo",0,1,237.11111111111111
"R Premadasa Stadium, Colombo",1,0,138.0
R.Premadasa Stadium,0,1,249.5
"R.Premadasa Stadium, Khettarama",0,1,306.5
"R.Premadasa Stadium, Khettarama",1,0,162.83333333333334
Rajiv Gandhi International Stadium,1,0,162.6
"Rajiv Gandhi International Stadium, Uppal",0,0,418.25
"Rajiv Gandhi International Stadium, Uppal",0,1,277.8333333333333
"Rajiv Gandhi International Stadium, Uppal",1,0,157.71428571428572
